"","latitude","longitude","ratio","vegetationType"
"1","-3","-60","0.299","forest"
"2","-3","-60","0.411","forest"
"3","-3","-60","0.277","forest"
"4","-3","-60","0.366","forest"
"5","-3","-60","0.299","forest"
"6","-3","-60","0.411","forest"
"7","-3","-60","0.277","forest"
"8","-3","-60","0.366","forest"
"9","4","113.8","0.285","forest"
"10","4","113.8","0.547","forest"
"11","4","113.8","0.374","forest"
"12","4","113.8","0.27","forest"
"13","4","113.8","0.469","forest"
"14","4","113.8","0.288","forest"
"15","4","113.8","0.296","forest"
"16","4","113.8","0.239","forest"
"17","4","113.8","0.317","forest"
"18","4","113.8","0.349","forest"
"19","4","113.8","0.371","forest"
"20","4","113.8","0.356","forest"
"21","4","113.8","0.515","forest"
"22","4","113.8","0.238","forest"
"23","4","113.8","0.293","forest"
"24","4","113.8","0.273","forest"
"25","4","113.8","0.454","forest"
"26","4","113.8","0.217","forest"
"27","4","113.8","1.48","forest"
"28","4","113.8","0.296","forest"
"29","4","113.8","1.393","forest"
"30","4","113.8","1.387","forest"
"31","4","113.8","2.579","forest"
"32","4","113.8","1.062","forest"
"33","4","113.8","1.009","forest"
"34","4","113.8","0.759","forest"
"35","4","113.8","0.921","forest"
"36","4","113.8","0.865","forest"
"37","4","113.8","0.956","forest"
"38","4","113.8","1.022","forest"
"39","4","113.8","1.101","forest"
"40","4","113.8","0.285","forest"
"41","4","113.8","0.547","forest"
"42","4","113.8","0.374","forest"
"43","4","113.8","0.27","forest"
"44","4","113.8","0.469","forest"
"45","4","113.8","0.288","forest"
"46","4","113.8","0.296","forest"
"47","4","113.8","0.239","forest"
"48","4","113.8","0.317","forest"
"49","4","113.8","0.349","forest"
"50","4","113.8","0.371","forest"
"51","4","113.8","0.356","forest"
"52","4","113.8","0.515","forest"
"53","4","113.8","0.238","forest"
"54","4","113.8","0.293","forest"
"55","4","113.8","0.273","forest"
"56","4","113.8","0.454","forest"
"57","4","113.8","0.217","forest"
"58","4","113.8","1.48","forest"
"59","4","113.8","0.296","forest"
"60","4","113.8","1.393","forest"
"61","4","113.8","1.387","forest"
"62","4","113.8","2.579","forest"
"63","4","113.8","1.062","forest"
"64","4","113.8","1.009","forest"
"65","4","113.8","0.759","forest"
"66","4","113.8","0.921","forest"
"67","4","113.8","0.865","forest"
"68","4","113.8","0.956","forest"
"69","4","113.8","1.022","forest"
"70","4","113.8","1.101","forest"
"71","-6","145.1833333","0.12778118","forest"
"72","8.5","-78","0.681508079","forest"
"73","18","-77","0.161572052","forest"
"74","22","106.5","0.226","forest"
"75","22","106.5","0.227","forest"
"76","22","106.5","0.226","forest"
"77","22","106.5","0.227","forest"
"78","23","110.65","0.132932166","forest"
"79","23","113.7","0.138088145","forest"
"80","25","111.7","0.180103508","forest"
"81","25","105.8","0.810293759","forest"
"82","25","83","0.215429732","forest"
"83","25","83.03","0.233589385","forest"
"84","25","109.2","0.211579435","forest"
"85","25","116.4","0.19518164","forest"
"86","25","92.5","0.299","forest"
"87","25","92.5","0.299","forest"
"88","26","119.3","0.18575711","forest"
"89","26","119.3","0.200632625","forest"
"90","26","101.7","0.120121846","forest"
"91","26","110.4","0.13658028","forest"
"92","26","110.6","0.14841059","forest"
"93","26","110.6","0.166263376","forest"
"94","26","110.6","0.274636511","forest"
"95","26","108","0.182498047","forest"
"96","26","83","0.171875","forest"
"97","26","83","0.271965812","forest"
"98","26","83","0.219538968","forest"
"99","26","83","0.282751092","forest"
"100","26","83","0.281228273","forest"
"101","26","83","0.306617345","forest"
"102","26","83","0.227231577","forest"
"103","26","83","0.256916996","forest"
"104","26","83","0.338491296","forest"
"105","26","83","0.186315789","forest"
"106","26","83","0.185088293","forest"
"107","26","83","0.266135458","forest"
"108","26","83","0.252086811","forest"
"109","26","83","0.449197861","forest"
"110","26","83","0.61589404","forest"
"111","27","83.88333","0.283870968","forest"
"112","27","83.88333","0.267676768","forest"
"113","27","83.88333","0.192045455","forest"
"114","27","83.88333","0.254385965","forest"
"115","27","83.88333","0.188448943","forest"
"116","27","83.88333","0.186093692","forest"
"117","27","83.883333","0.231854839","forest"
"118","27","83.883333","0.273538157","forest"
"119","27","83.883333","0.196349906","forest"
"120","27","83.883333","0.243691149","forest"
"121","27","83.883333","0.248426631","forest"
"122","27","83.883333","0.227783284","forest"
"123","27","118.1","0.232787086","forest"
"124","27","83.5","0.316883117","forest"
"125","27","83.5","0.298474946","forest"
"126","27","83.5","0.226270374","forest"
"127","27","83.5","0.231780167","forest"
"128","27","83.5","0.250402576","forest"
"129","27","83.5","0.192775974","forest"
"130","27","117.87","0.182776785","forest"
"131","27","117.87","0.18346381","forest"
"132","27","117.87","0.222610316","forest"
"133","27","117.87","0.226817805","forest"
"134","27","117.87","0.230700856","forest"
"135","27","117.87","0.265828707","forest"
"136","27","117.87","0.271517824","forest"
"137","27","117.87","0.27465042","forest"
"138","27","117.87","0.277380952","forest"
"139","27","117.87","0.278396533","forest"
"140","27","117.87","0.323434474","forest"
"141","27","117.87","0.457757894","forest"
"142","27","83.88","0.283870968","forest"
"143","27","83.88","0.267676768","forest"
"144","27","83.88","0.192045455","forest"
"145","27","83.88","0.254385965","forest"
"146","27","83.88","0.188448943","forest"
"147","27","83.88","0.186782673","forest"
"148","27","83.88","0.316883117","forest"
"149","27","83.88","0.298474946","forest"
"150","27","83.88","0.226270374","forest"
"151","27","83.88","0.231780167","forest"
"152","27","83.88","0.250402576","forest"
"153","27","83.88","0.192775974","forest"
"154","27","83.88","0.232041969","forest"
"155","27","83.88","0.273592387","forest"
"156","27","83.88","0.196349906","forest"
"157","27","83.88","0.243691149","forest"
"158","27","83.88","0.248327261","forest"
"159","27","83.88","0.227783284","forest"
"160","27","118.9","0.230719699","forest"
"161","27","117.6","0.165435989","forest"
"162","27","117.1","0.258769845","forest"
"163","28","101.75","0.1","forest"
"164","28","102.5","0.099976723","forest"
"165","28","106.5","0.130474934","forest"
"166","28","120","0.20494368","forest"
"167","21.25","109.9","0.088830194","forest"
"168","25.25","107.95","0.182561071","forest"
"169","25.25","107.98","0.201734593","forest"
"170","26.25","107.98","0.567501513","forest"
"171","26.25","116.8","0.273550725","forest"
"172","26.25","116.8","0.322536182","forest"
"173","26.25","116.8","0.350976829","forest"
"174","26.25","116.8","0.502702703","forest"
"175","26.25","113.83","0.212638571","forest"
"176","26.25","113.68","0.22061044","forest"
"177","26.25","113.37","0.219225054","forest"
"178","27.25","118.5","0.33159583","forest"
"179","28.25","108.45","0.256087824","forest"
"180","28.25","108.12","0.228908189","forest"
"181","28.25","108.12","0.170766677","forest"
"182","28.25","108.43","0.201370834","forest"
"183","28.25","106.43","0.196629213","forest"
"184","19.5","110.73","0.423921631","forest"
"185","21.5","101.55","0.236832092","forest"
"186","21.5","101.55","0.245874603","forest"
"187","21.5","109.683","0.425576188","forest"
"188","21.5","109.683","0.569351325","forest"
"189","21.5","109.683","0.7038674","forest"
"190","21.5","100.5","0.215949896","forest"
"191","21.5","100.5","0.216935654","forest"
"192","21.5","100.5","0.21725755","forest"
"193","21.5","100.5","0.217266558","forest"
"194","25.5","113.78","0.233466412","forest"
"195","25.5","108.62","0.2347643","forest"
"196","25.5","118.25","0.366851912","forest"
"197","25.5","118.25","0.379633439","forest"
"198","25.5","118.25","0.39196536","forest"
"199","25.5","111.37","0.231523422","forest"
"200","25.5","99.13","0.339577201","forest"
"201","25.5","108.45","0.173794584","forest"
"202","25.5","110.25","0.339991399","forest"
"203","26.5","114.4","0.180399315","forest"
"204","26.5","114.4","0.208447687","forest"
"205","26.5","113.7","0.180943092","forest"
"206","26.5","114.05","0.256078938","forest"
"207","26.5","118.87","0.216644474","forest"
"208","26.5","118.1","0.218669234","forest"
"209","26.5","110.1","0.30030477","forest"
"210","27.5","117.6","0.196079193","forest"
"211","28.5","120.6","0.172678557","forest"
"212","28.5","106.32","0.201711491","forest"
"213","29.5","110.17","0.272045768","forest"
"214","29.5","110.17","0.273143684","forest"
"215","29.5","110.17","0.339523065","forest"
"216","17.75","99.08","0.139082058","forest"
"217","17.75","99.08","0.119305857","forest"
"218","17.75","99.08","0.077641984","forest"
"219","21.75","108.4","0.183830827","forest"
"220","23.75","105.08","0.167723343","forest"
"221","23.75","105.08","0.07932726","forest"
"222","23.75","109.67","0.123459168","forest"
"223","23.75","109.67","0.124096386","forest"
"224","23.75","109.67","0.12988863","forest"
"225","23.75","109.67","0.130800023","forest"
"226","23.75","109.67","0.135940196","forest"
"227","23.75","109.67","0.139240506","forest"
"228","23.75","109.67","0.142857143","forest"
"229","23.75","109.67","0.167356594","forest"
"230","23.75","109.67","0.247148289","forest"
"231","24.75","106","0.197789864","forest"
"232","25.75","108.05","0.171505437","forest"
"233","25.75","109.8","0.21490306","forest"
"234","25.75","108.08","0.462824169","forest"
"235","25.75","104.62","0.22826233","forest"
"236","26.75","109.35","0.248059867","forest"
"237","26.75","115.07","0.239989393","forest"
"238","26.75","80.85","0.21542686","forest"
"239","26.75","80.85","0.217553456","forest"
"240","26.75","80.85","0.200325733","forest"
"241","21.6866","110.3077","0.185322461","forest"
"242","27.0009","118.1008","0.232730163","forest"
"243","26.1223","109.402","0.267777326","forest"
"244","24.261305","101.509226","0.4329876","forest"
"245","26.8071","118.3027","0.212246611","forest"
"246","18.6214","104.6853","0.155848868","forest"
"247","27.6214","109.5809","0.247252747","forest"
"248","25.8053","116.3081","0.208671201","forest"
"249","25.9883","108.3278","0.20758905","forest"
"250","27.3026","117.4095","0.163524335","forest"
"251","4.844202","-2.083854","0.151612564","forest"
"252","25.1749","111.0486","0.186476167","forest"
"253","26.2374","106.656","0.097962747","forest"
"254","26.1079","117.4065","0.172341786","forest"
"255","24.107","111.5077","0.219483395","forest"
"256","5.383333","-4.03333","0.078431373","forest"
"257","7.383333","3.93333","0.249271137","forest"
"258","26.1061","117.5098","0.233087743","forest"
"259","24.1043","111.504","0.137212603","forest"
"260","25.4793","107.7936","0.178056861","forest"
"261","3.022291","101.641854","0.119940861","forest"
"262","28.9757","108.1988","0.19000602","forest"
"263","18.804999","98.675345","0.146239554","forest"
"264","23.2221","113.712","0.192758621","forest"
"265","28.4096","114.501","0.271775223","forest"
"266","28.5346","106.2018","0.184526163","forest"
"267","25.4087","107.9999","0.165688259","forest"
"268","27.7837","107.8517","0.245501042","forest"
"269","28.406","119.9042","0.204896286","forest"
"270","28.0319","108.112","0.124768457","forest"
"271","24.9166667","83.1166667","0.27129751","forest"
"272","24.9166667","83.1166667","0.256449165","forest"
"273","-0.36667","35.35","0.628070175","forest"
"274","-0.36667","35.35","0.510582011","forest"
"275","25.589","108.0509","0.193119625","forest"
"276","24.5899","108.7527","0.221690044","forest"
"277","25.5845","105.1376","0.117015943","forest"
"278","26.8336","109.5946","0.255282074","forest"
"279","23.08","112.35","0.483599089","forest"
"280","26.08","99.57","0.344182201","forest"
"281","26.08","109.4","0.17061144","forest"
"282","26.08","108.6","0.242281563","forest"
"283","26.08","99.62","0.274575243","forest"
"284","22.33","107.84","0.157628513","forest"
"285","22.33","107.84","0.158157884","forest"
"286","22.33","107.84","0.165607146","forest"
